,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
11/4/2021 8:00,10.41,75.82,1.979,4.49,43.5,0,810.317,120.261
11/4/2021 9:00,12.89,71.04,1.689,3.78,118.7,0,810.788,355.34
11/4/2021 10:00,15.18,62.47,1.433,3.03,181.8,0,811.086,550.3
11/4/2021 11:00,17.55,51.95,1.817,3.78,168.5,0,810.912,752.322
11/4/2021 12:00,20.5,36.47,1.902,4.34,188.5,0,810.138,867.25
11/4/2021 13:00,22.16,26.59,2.415,5.87,163.4,0,809.284,903.95
11/4/2021 14:00,23.59,24.73,2.028,5.4,175.6,0,808.271,860.708
11/4/2021 15:00,24.32,22.9,2.312,5.22,225.5,0,807.376,695.155
11/4/2021 16:00,23.08,24.75,2.057,5.15,352.5,0,807.032,207.418
11/4/2021 17:00,22.51,26.98,2.013,4.45,38.4,0,806.76,128.662
11/4/2021 18:00,20.77,39.36,4.225,8.67,62.2,0,806.853,51.688
11/4/2021 19:00,17.98,55.44,5.06,9.94,67.5,0,807.221,0.599
11/4/2021 20:00,15.62,64.62,2.929,7.99,65.8,0,808.277,-0.842
11/4/2021 21:00,13.99,70.08,2.906,7.07,86.8,0,809.427,-0.863
11/4/2021 22:00,12.7,75.01,2.558,8.82,57.8,0,810.149,-1.432
11/4/2021 23:00,12.05,77.19,3.541,7.55,33.9,0,810.53,-1.224
11/5/2021 0:00,11.65,75.23,3.3,8.42,46.6,0,810.788,-1.4
11/5/2021 1:00,11.32,74.45,2.215,5.73,55.5,0,810.714,-1.488
11/5/2021 2:00,10.89,75.1,1.694,4.74,74,0,810.425,-1.424
11/5/2021 3:00,10.73,76.71,1.555,4.95,58.4,0,810.265,-1.647
11/5/2021 4:00,10.52,77.88,1.459,2.83,35.1,0,810.222,-1.574
